,score
ENSG00000054148,0.029521178
ENSG00000087088,0.023705581
ENSG00000185088,0.020005468
ENSG00000078237,0.018736232
ENSG00000161513,0.018136831
ENSG00000164237,0.017220698
ENSG00000136003,0.016521242
ENSG00000174775,0.01643918
ENSG00000170855,0.015100019
ENSG00000196072,0.014838059
ENSG00000135679,0.014661452
ENSG00000167196,0.014450148
ENSG00000168724,0.014341632
ENSG00000038427,0.014238251
ENSG00000113328,0.0142238485
ENSG00000122786,0.013950663
ENSG00000159388,0.013842389
ENSG00000120868,0.013601857
ENSG00000160789,0.013136079
ENSG00000112249,0.0130621325
